symbol,direction,score,entry_price,exit_price,pnl_usdt,pnl_pct,hold_candles,exit_reason,slippage_pct,leverage,margin,trail_pct,is_low_liq
SUIUSDT,LONG,71,0.8605049934382767,0.8500475173295775,-2.430543968586346,-1.215271984293173,16,trail_stop,0.07035625517812645,20,10.0,0.015,False
SUIUSDT,SHORT,104,0.8813769086037231,0.8777801390386081,2.448511775158492,0.4080852958597486,9,trail_stop,0.07035625517812645,20,30.0,0.015,False
SUIUSDT,SHORT,73,0.895369607953604,0.9066376346610179,-3.7754330526699453,-1.2584776842233152,0,trail_stop,0.07035625517812645,30,10.0,0.015,False
SUIUSDT,SHORT,75,0.9189530038773819,0.9306672841196137,-5.098968148667124,-1.2747420371667812,2,trail_stop,0.07035625517812645,20,20.0,0.015,False
SUIUSDT,SHORT,84,0.9581574400636568,0.9726057547816456,-9.04756198544713,-1.5079269975745218,2,trail_stop,0.07035625517812645,20,30.0,0.015,False
SUIUSDT,SHORT,79,0.9941587592169725,1.0112403532421232,-13.74556638306316,-1.718195797882895,3,trail_stop,0.07035625517812645,20,40.0,0.015,False
SUIUSDT,SHORT,68,1.0007953821043911,1.0193991894047625,-3.7178043849988187,-1.8589021924994094,0,trail_stop,0.07035625517812645,20,10.0,0.015,False
SUIUSDT,SHORT,78,0.9891036137862469,0.9727494088836784,3.3068739563017546,1.6534369781508775,2,trail_stop,0.07035625517812645,20,10.0,0.015,False
SUIUSDT,LONG,98,0.9165547210686358,0.9519,30.850556431724385,3.856319553965548,24,max_hold,0.07035625517812645,20,40.0,0.015,False
SUIUSDT,LONG,84,0.9110822463492114,0.8966926258008594,-9.476391800638764,-1.579398633439794,7,trail_stop,0.07035625517812645,20,30.0,0.015,False
SUIUSDT,LONG,68,0.8982315177464788,0.8866637373905552,-5.151358030698093,-1.2878395076745235,4,trail_stop,0.07035625517812645,20,20.0,0.015,False
SUIUSDT,LONG,114,0.8361087534313415,0.8598905872384425,51.19824505736016,2.84434694763112,13,trail_stop,0.07035625517812645,20,90.0,0.015,False
SUIUSDT,SHORT,77,0.9018650347970174,0.9033761347615575,-0.3351055659631451,-0.16755278298157253,4,trail_stop,0.07035625517812645,20,10.0,0.015,False
SUIUSDT,SHORT,71,0.9279434660171103,0.9029698491151614,26.912864648037072,2.6912864648037074,21,trail_stop,0.07035625517812645,20,50.0,0.015,False
SUIUSDT,LONG,93,0.8815197682518642,0.8844982620106048,1.3515267001429712,0.33788167503574285,2,trail_stop,0.07035625517812645,20,20.0,0.015,False
SUIUSDT,SHORT,103,0.9412658926574112,0.9370978434124274,6.199384242536434,0.44281316018117384,13,trail_stop,0.07035625517812645,20,70.0,0.015,False
SUIUSDT,LONG,70,0.8970624514053253,0.898475421281193,1.260086071960015,0.15751075899500191,5,trail_stop,0.07035625517812645,20,40.0,0.015,False
SUIUSDT,SHORT,114,0.9385974804906109,0.9357774150616404,3.6054630287263616,0.3004552523938635,7,trail_stop,0.07035625517812645,20,60.0,0.015,False
SUIUSDT,SHORT,85,0.962722187837614,0.9742729800576636,-2.3996106802096344,-1.1998053401048172,3,trail_stop,0.07035625517812645,20,10.0,0.015,False
